code;nom;population;surface_ha;longitude;latitude;code_epci;code_departement
38004;L'Albenc;1255;1020.04;5.4598;45.2199;200070431;38
38018;Auberives-en-Royans;367;512.51;5.312;45.0656;200070431;38
38033;Beaulieu;635;882.31;5.3975;45.1895;200070431;38
38036;Beauvoir-en-Royans;96;204.68;5.3481;45.1168;200070431;38
38041;Bessins;123;460.44;5.2627;45.2053;200070431;38
38074;Chantesse;397;583.95;5.4489;45.2448;200070431;38
38086;Chasselay;444;947.07;5.3404;45.2624;200070431;38
38092;Châtelus;97;1257.32;5.3994;45.0533;200070431;38
38095;Chatte;2518;2285.92;5.2815;45.1419;200070431;38
38099;Chevrières;742;1646.49;5.2947;45.1949;200070431;38
38108;Choranche;144;1069.05;5.399;45.0744;200070431;38
38117;Cognin-les-Gorges;615;1267.72;5.4167;45.1715;200070431;38
38137;Cras;407;550.82;5.4401;45.2733;200070431;38
38195;Izeron;809;1707.52;5.4009;45.1438;200070431;38
38216;Malleval-en-Vercors;57;1416.16;5.444;45.1538;200070431;38
38245;Montagne;273;877.6;5.2034;45.1417;200070431;38
38248;Montaud;530;1442.04;5.5652;45.2614;200070431;38
38263;Morette;358;631.68;5.4516;45.2846;200070431;38
38272;Murinais;412;819.83;5.3219;45.2146;200070431;38
38275;Serre-Nerpol;307;1313.06;5.373;45.2566;200070431;38
38278;Notre-Dame-de-l'Osier;535;854.3;5.4112;45.2384;200070431;38
38310;Poliénas;1111;1370.22;5.4818;45.2472;200070431;38
38319;Pont-en-Royans;805;288.6;5.3452;45.0622;200070431;38
38322;Presles;102;2553.41;5.406;45.0927;200070431;38
38330;Quincieu;106;475.27;5.3898;45.2771;200070431;38
38333;Rencurel;358;3457.07;5.4752;45.1178;200070431;38
38338;La Rivière;720;1828.59;5.5117;45.2236;200070431;38
38345;Rovon;605;1197.5;5.4639;45.1843;200070431;38
38356;Saint-André-en-Royans;342;1044.55;5.3406;45.0797;200070431;38
38359;Saint Antoine l'Abbaye;1263;3603.22;5.2124;45.1793;200070431;38
38360;Saint-Appolinard;395;1074.5;5.259;45.1896;200070431;38
38370;Saint-Bonnet-de-Chavagne;655;1517.92;5.2284;45.1179;200070431;38
38390;Saint-Gervais;538;1326.6;5.4959;45.1881;200070431;38
38394;Saint-Hilaire-du-Rosier;2004;1637.57;5.2466;45.0931;200070431;38
38409;Saint-Just-de-Claix;1401;1162.32;5.2757;45.0822;200070431;38
38410;Saint-Lattier;1486;1819.4;5.1802;45.0935;200070431;38
38416;Saint-Marcellin;7700;778.74;5.3166;45.1526;200070431;38
38443;Saint-Pierre-de-Chérennes;461;1185.1;5.39;45.1234;200070431;38
38450;Saint-Quentin-sur-Isère;1466;1941.85;5.554;45.275;200070431;38
38453;Saint-Romans;1897;1711.51;5.3178;45.1049;200070431;38
38454;Saint-Sauveur;2127;935.94;5.3457;45.1433;200070431;38
38463;Saint-Vérand;1711;1778.12;5.3426;45.1816;200070431;38
38495;La Sône;634;304.61;5.2782;45.1173;200070431;38
38500;Têche;596;505.05;5.3763;45.1806;200070431;38
38523;Varacieux;881;1850.99;5.3409;45.2277;200070431;38
38526;Vatilieu;373;935.64;5.4109;45.2594;200070431;38
38559;Vinay;4438;1606.44;5.4078;45.2144;200070431;38
